City,Country,CostofLivingIndex,RentIndex,CostofLivingPlusRentIndex,GroceriesIndex,RestaurantPriceIndex,LocalPurchasingPowerIndex,latitude,longitude,Year
Tirana,Albania,34.66,9.6,22.86,26.61,30.95,37.61,41.3275459,19.8186982,2016
Algiers,Algeria,33.92,10.12,22.71,34.02,26.54,41.82,36.753768,3.0587561,2016
Buenos Aires,Argentina,58.25,16.83,38.75,46.73,58.47,59.82,-34.6036844,-58.3815591,2016
Yerevan,Armenia,34.56,11.6,23.75,26.56,31.68,33.66,40.1791857,44.4991029,2016
Adelaide,Australia,79.34,33.66,57.83,74,78.34,137.87,-34.9284989,138.6007456,2016
Brisbane,Australia,78.97,46.68,63.76,71.87,78.81,131.13,-27.4697707,153.0251235,2016
Cairns,Australia,78.5,30.75,56.02,72.96,79.96,87.29,-16.9185514,145.7780548,2016
Canberra,Australia,75.97,44.15,60.99,73.4,75.45,164.92,-35.2809368,149.1300092,2016
Darwin,Australia,88.44,45.92,68.42,91.04,92.33,121.99,-12.4634403,130.8456418,2016
Gold Coast,Australia,74.66,37.66,57.24,69.54,70.4,130.71,-28.016667,153.4,2016
Hobart,Australia,79.52,29.52,55.98,74.64,86.37,110.79,-42.8821377,147.3271949,2016
Melbourne,Australia,78.04,44.15,62.08,72.32,74.05,142.32,-37.8136276,144.9630576,2016
Newcastle,Australia,76.56,42.79,60.66,76.51,79.19,141.59,-32.9282712,151.7816802,2016
Perth,Australia,86.87,42.75,66.09,80.75,93.7,132.36,-31.9505269,115.8604572,2016
Sydney,Australia,85.51,64.78,75.75,77,73.17,120.51,-33.8688197,151.2092955,2016
Graz,Austria,63.95,21.68,44.05,50.22,62.74,130.65,47.070714,15.439504,2016
Linz,Austria,80.37,28.29,55.85,75.05,78.92,100.03,48.30694,14.28583,2016
Vienna,Austria,67.77,31.97,50.91,59.63,68.95,108.84,48.2081743,16.3738189,2016
Baku,Azerbaijan,29.25,10.84,20.58,24.09,32.12,35.76,40.4092617,49.8670924,2016
Nassau,Bahamas,99.74,38.38,70.84,92.09,96.24,43.77,25.0479835,-77.355413,2016
Manama,Bahrain,53.9,33.35,44.22,48.46,53.36,109.42,26.2285161,50.5860497,2016
Dhaka,Bangladesh,36.29,6.81,22.41,30.64,25.92,40.49,23.810332,90.4125181,2016
Minsk,Belarus,33.93,13.09,24.12,27.39,37.85,39.74,53.9045398,27.5615244,2016
Antwerp,Belgium,79.2,27.41,54.81,70.48,89.04,99.12,51.2194475,4.4024643,2016
Brussels,Belgium,77.13,32.58,56.15,66.25,86.92,107.5,50.8503463,4.3517211,2016
Gent,Belgium,81.51,26.18,55.46,74.51,86.46,95.19,51.0543422,3.7174243,2016
Leuven,Belgium,79.98,27.04,55.06,78.84,77.48,89.13,50.8798438,4.7005176,2016
Hamilton,Bermuda,133.26,112.14,123.32,121.17,138.91,129.67,32.2945837,-64.7858887,2016
Banja Luka,Bosnia And Herzegovina,35.66,6.73,22.04,28.4,26.8,55.04,44.7721811,17.191,2016
Sarajevo,Bosnia And Herzegovina,36.81,8.33,23.4,29.92,28.7,53.74,43.8562586,18.4130763,2016
Belo Horizonte,Brazil,46.94,13.22,31.07,37.26,34.83,44.89,-19.9166813,-43.9344931,2016
Brasilia,Brazil,51.46,17.01,35.24,39.84,46.02,59.25,-15.826691,-47.9218204,2016
Campinas,Brazil,53.12,16.88,36.06,40.43,41.82,57.84,-22.9329252,-47.073845,2016
Curitiba,Brazil,46.88,12.76,30.81,36.32,38.94,51.73,-25.4808762,-49.3044253,2016
Florianopolis,Brazil,47.82,14.07,31.93,37.11,40.28,49.19,-27.5948698,-48.5482195,2016
Porto Alegre,Brazil,49.84,13.36,32.66,38.76,41.31,51.62,-30.0346471,-51.2176584,2016
Recife,Brazil,50.25,13.65,33.02,42.1,34.71,41.76,-8.0522404,-34.9286096,2016
Rio De Janeiro,Brazil,56.26,23.99,41.06,39.84,50.61,46.38,-22.9068467,-43.1728965,2016
Sao Paulo,Brazil,54.19,21.85,38.96,41.02,48.29,43.82,-23.5505199,-46.6333094,2016
Plovdiv,Bulgaria,36.18,7.42,22.64,30.48,29.79,48.3,42.1354079,24.7452904,2016
Sofia,Bulgaria,38.7,10.94,25.63,32.08,31.21,59.88,42.6977082,23.3218675,2016
Varna,Bulgaria,36.48,8,23.07,31.04,29.62,45.72,43.2140504,27.9147333,2016
Phnom Penh,Cambodia,49.38,21.65,36.32,52.83,22.51,21.55,11.5563738,104.9282099,2016
Barrie,Canada,70.65,27.03,50.11,69.04,62.51,132.95,44.3893556,-79.6903316,2016
Calgary,Canada,75.59,35.69,56.8,74.44,73.66,133,51.0486151,-114.0708459,2016
Edmonton,Canada,73.06,30.22,52.89,70.74,70.87,116.49,53.544389,-113.4909267,2016
Guelph,Canada,67.01,27.88,48.58,62.84,64.47,100.78,43.5448048,-80.2481666,2016
Halifax,Canada,75.05,26.91,52.38,77.71,74.58,104.39,44.6487635,-63.5752387,2016
Hamilton,Canada,59.9,23.14,42.59,54.54,59.37,151.38,43.2557206,-79.8711024,2016
Kelowna,Canada,64.99,30.58,48.79,62.44,66.14,121.53,49.8879519,-119.4960106,2016
Kitchener,Canada,61.97,25.18,44.64,55.13,65.24,110.89,43.4516395,-80.4925337,2016
London,Canada,69.28,23.59,47.77,69.51,65.77,144.9,42.9849233,-81.2452768,2016
Mississauga,Canada,72.19,34.73,54.55,67.78,64.44,114.87,43.5890452,-79.6441198,2016
Moncton,Canada,63.78,18.84,42.62,62.8,64.47,100.19,46.0878165,-64.7782313,2016
Montreal,Canada,67.01,24.8,47.13,67.36,62.73,115.26,45.5016889,-73.567256,2016
Ottawa,Canada,67.78,30.36,50.16,62.92,64.86,118.69,45.4215296,-75.6971931,2016
Quebec City,Canada,68.16,19.34,45.17,68.12,72.53,126.53,46.8138783,-71.2079809,2016
Red Deer,Canada,74.37,27.38,52.24,69.18,61.18,108.46,52.2681118,-113.8112386,2016
Regina,Canada,72.51,29.22,52.13,71.65,71.19,99.54,50.4452112,-104.6188943,2016
Saskatoon,Canada,73.8,27.64,52.06,77,71.08,127.65,52.1332144,-106.6700458,2016
Surrey,Canada,65.59,30.45,49.04,64.81,60.95,100.21,49.1913466,-122.8490125,2016
Toronto,Canada,69.5,39.87,55.55,64.79,62.95,77.57,43.653226,-79.3831843,2016
Vancouver,Canada,70.54,45.13,58.58,73.37,67.63,124.88,49.2827291,-123.1207375,2016
Victoria,Canada,70.56,31.55,52.19,73.34,66.45,101.38,48.4284207,-123.3656444,2016
Waterloo,Canada,79.45,29.89,56.11,76.71,64.7,111.43,43.4642578,-80.5204096,2016
Windsor,Canada,72.11,20.35,47.74,63.13,69.21,138.28,42.3149367,-83.0363633,2016
Winnipeg,Canada,68.83,25.97,48.65,65.95,62.36,120.65,49.895136,-97.1383744,2016
Santiago,Chile,50.38,17.89,35.08,43.6,65.36,102.11,-33.4488897,-70.6692655,2016
Beijing,China,51.84,41.96,47.19,51.41,46.17,62.71,39.9041999,116.4073963,2016
Chengdu,China,37.72,12.05,25.63,33.12,37.36,67.87,30.572815,104.066801,2016
Guangzhou,China,44.77,22.03,34.06,47.2,25.9,85.05,23.12911,113.264385,2016
Shanghai,China,54.31,36.25,45.8,57.81,26.34,75.9,31.2303904,121.4737021,2016
Shenzhen,China,53.18,34.51,44.39,57.64,39.65,81.8,22.543096,114.057865,2016
Bogota,Colombia,36.18,14.18,25.82,30.39,36.31,85.2,4.7109886,-74.072092,2016
Cali,Colombia,29.41,7.29,18.99,24.06,26.07,40.46,3.4516467,-76.5319854,2016
Medellin,Colombia,32.14,7.92,20.74,28.48,22.65,35.29,6.244203,-75.5812119,2016
San Jose,Costa Rica,60.32,20.83,41.72,59.38,22.24,42.71,9.9280694,-84.0907246,2016
Osijek,Croatia,45.57,7,27.41,37.77,49.18,45.17,45.5549624,18.6955144,2016
Rijeka,Croatia,52.19,11.61,33.08,42.58,30.61,59.82,45.3270631,14.442176,2016
Split,Croatia,52.56,11.85,33.39,43.51,41.16,54.98,43.5081323,16.4401935,2016
Zagreb,Croatia,50.48,12.81,32.75,42.22,49.19,56.46,45.8150108,15.9819189,2016
Limassol,Cyprus,57.89,16.9,38.59,45.02,40.13,69.54,34.7071301,33.0226174,2016
Nicosia,Cyprus,63.86,15.61,41.14,54.78,66.97,101.9,35.1855659,33.3822764,2016
Brno,Czech Republic,41.93,14.69,29.1,36.09,69.9,84.54,49.1950602,16.6068371,2016
Olomouc,Czech Republic,39.15,11.09,25.93,35.38,28.41,81.93,49.593778,17.2508787,2016
Ostrava,Czech Republic,40.5,11,26.61,34.94,27.61,85.08,49.8209226,18.2625243,2016
Prague,Czech Republic,43.85,19.47,32.37,36.83,28.5,78.01,50.0755381,14.4378005,2016
Aalborg,Denmark,81.71,23.53,54.31,63.84,32.96,83.04,57.0488195,9.921747,2016
Arhus,Denmark,81.83,32.82,58.75,59.12,95.81,118.42,56.162939,10.203921,2016
Copenhagen,Denmark,89.01,46.18,68.84,68.8,102.57,122.82,55.6760968,12.5683372,2016
Santo Domingo,Dominican Republic,53.15,15.26,35.31,46.26,108.82,115.35,18.4860575,-69.9312117,2016
Cuenca,Ecuador,46.4,12.24,30.31,48.78,42.04,24.4,-2.9001285,-79.0058965,2016
Guayaquil,Ecuador,48.76,13.25,32.04,43.96,27.16,39.79,-2.1709979,-79.9223592,2016
Quito,Ecuador,46.2,15.38,31.69,43.43,37.23,40.3,-0.1806532,-78.4678382,2016
Cairo,Egypt,35.52,9.33,23.19,31.49,34.86,39.61,30.0444196,31.2357116,2016
San Salvador,El Salvador,45.03,9.83,28.46,40.92,29.98,35.68,13.6929403,-89.2181911,2016
Tallinn,Estonia,52.73,16.71,35.77,38.16,32.44,32.31,59.4369608,24.7535747,2016
Tartu,Estonia,49.28,12.59,32,37.99,55.23,70.96,58.377983,26.7290383,2016
Addis Ababa,Ethiopia,45.17,21.85,34.19,37.27,47.37,78.36,8.9806034,38.7577605,2016
Tampere,Finland,77.11,24.89,52.52,63.45,90.98,118.11,61.4977524,23.7609535,2016
Turku,Finland,79.87,24.08,53.6,66.77,90.31,112.96,60.4518126,22.2666302,2016
Lille,France,73.7,24.51,50.54,64.51,88.98,124.37,50.62925,3.057256,2016
Lyon,France,80.9,23.76,54,75.57,71.35,104.83,45.764043,4.835659,2016
Marseille,France,65.07,22.26,44.91,57.97,76.21,106.72,43.296482,5.36978,2016
Paris,France,84.34,45.94,66.26,78.45,68.76,111.98,48.856614,2.3522219,2016
Toulouse,France,74.76,25.66,51.64,69.93,72.59,131.19,43.604652,1.444209,2016
Tbilisi,Georgia,32.53,11.28,22.53,26.21,83.85,100.24,41.7151377,44.827096,2016
Aachen,Germany,62.14,22.3,43.38,52.39,77.48,117.27,50.7753455,6.0838868,2016
Berlin,Germany,65.68,27.97,47.92,52.12,31.66,33.64,52.5200066,13.404954,2016
Bonn,Germany,65.25,28,47.71,44.66,56.62,153.14,50.73743,7.0982068,2016
Bremen,Germany,60.75,21.52,42.28,41.66,57.43,122.4,53.0792962,8.8016936,2016
Cologne,Germany,70.37,28.13,50.48,51.58,68.74,110.13,50.937531,6.9602786,2016
